class,text
Pos,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
Pos,@Apple will be adding more carrier support to the iPhone 4S (just announced)
Pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
Pos,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
Pos,I just realized that the reason I got into twitter was ios5 thanks @apple
Pos,I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone
Pos,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
Pos,Great up close & personal event @Apple tonight in Regent St store!
Pos,From which companies do you experience the best customer service aside from @zappos and @apple?
Pos,Just apply for a job at @Apple hope they call me lol
Pos,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
Pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
Pos,RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
Pos,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
Pos,Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
Pos, ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
Pos,Come to the dark side @gretcheneclark: Hey @apple if you send me a free iPhone I will publicly and ceremoniously burn my #BlackBerry.
Pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.
Pos,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
Pos,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.
Pos,@DailyDealChat @apple Thanks!!
Pos,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
Pos,@apple..good ipad
Pos,@apple @siri is efffing amazing!!
Pos,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
Pos,RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
Pos,We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
Pos,When you want something done right you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
Pos,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
Pos,&lt;3 #ios5 @apple
Pos,--- RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
Pos,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
Pos,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
Pos,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
Pos,At the bus with my iPhone ;) thxx @apple
Pos,@azee1v1 @apple @umber AppStore is well done so is iTunes on the mobile devices.  I was talking about desktop app.
Pos,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
Pos,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
Pos,@bkad5161 than apologize to @apple ;)
Pos,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
Pos,Lmfao look at the argument I had with Siri !!@ijustine @apple http://t.co/D4VjL7SI
Pos,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
Pos,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
Pos,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
Pos,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
Pos,you are so blessed. @apple
Pos,#Siri now knows who my dad mom brother and girlfriend is.  Thanks @apple
Pos,Well at least the @apple store has amazing call waiting music! #need4s
Pos,#sweet... #apple replaced my glass #probono. thank you @apple
Pos,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
Pos,loving new technology from @apple iPhone 4s mac air and iCloud are unreal #technology
Pos,I'm loving this new IOS5 update :) @apple
Pos,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
Pos,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
Pos,hey @apple I hate my computer i need a #mack wanna send me a free one.
Pos,Thank you @apple. My new gf(iphone4s) is great!  She does everything!
Pos,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
Pos,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
Pos,@apple loving the new IOS5 upgrade for the iPhone!
Pos,The nice @apple tech support guy fixed my iTouch =D
Pos,Once again getting great customer service from the @apple store at millenia mall.
Pos,Is it just me or is #iOS5 faster for the iPad? @apple
Pos,I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek
Pos,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
Pos,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
Pos,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
Pos,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
Pos,@Apple Safari Reader owns the worldwide web
Pos,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
Pos,#10twitterpeopleiwouldliketomeet @coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)
Pos,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
Pos,Kind of excited. On my way to my last class right now and then going to the @Apple store so buy #MacOSC Snow Leopard and Lion :-)
Pos,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
Pos,Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing because you are doing it well! http://t.co/ZZc6bE0w
Pos,Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.
Pos,4 millions in a weekend 16 #iPhone4S per second. This is madness?! no this is @Apple !!!
Pos,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
Pos,@iancollinsuk @apple I like what you did there...!
Pos,I just sent my grandma a post card using my #CardsApp thanks @Apple
Pos,Sorry @BlackBerry I'm moving to @Apple.
Pos,@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear it's still alive.
Pos,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple
Pos,Bravo @Apple! http://t.co/BgoTzj7K
Pos,God Bless @YouTube @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)
Pos,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
Pos,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
Pos,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
Pos,This good here iPhone will do me VERY well today. Thanks to the gods that are @apple.
Pos,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Pos,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Pos,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
Pos,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
Pos,Gone for a run beautiful morning  man do I love iOS 5 @apple #iPhone
Pos,@apple your simply the best.
Pos,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
Pos,Day305 I'm thankful for the great customer service received today from @Apple via phone CS new phone on the way #365daysofgratefulness
Pos,S/O to @apple for replacing my phone for free
Pos,Loving the new iPod update @apple
